1111
0, 1025
0, 1014
0, 1011
0, 1012
0, 960
0, 968
0, 964
0, 964
0, 1542
10, 1614
12, 1556
14, 1575
16, 949
27, 937
26, 925
25, 916
24, 2310
20, 2239
24, 2335
28, 2504
31, 2028
57, 2021
57, 1971
57, 1955
57, 751
5, 722
0, 732
0, 727
0, 710
0, 710
0, 714
0, 711
0, 2489
67, 2514
69, 2525
70, 2519
71, 1310
64, 1284
63, 1284
63, 1260
62, 2353
48, 2417
52, 2479
55, 2625
56, 3085
113, 3117
115, 3140
116, 3156
117, 2892
127, 3271
126, 3297
127, 2631
109, 2435
99, 2446
99, 2460
100, 2470
100, 2165
88, 2154
87, 1810
86, 1693
86, 2540
87, 2582
88, 2625
90, 2631
91, 1762
88, 1718
87, 1666
86, 1622
84, 1928
44, 1928
46, 1961
48, 2042
49, 1389
67, 1709
67, 1821
67, 1835
68, 1806
73, 1800
73, 1803
73, 1803
73, 1955
79, 1980
80, 2006
81, 2035
82, 1109
1071, 50
971, 50
942, 48
589, 0
592, 0
595, 0
595, 0
629, 0
623, 0
619, 0
621, 0
623, 0
626, 0
622, 0
632, 0
626, 0
628, 0
624, 0
625, 0
630, 0
626, 0
621, 0
29, 2484
59, 2314
61, 2196
61, 2082
62, 1816
74, 1835
75, 1859
75, 1879
76, 2256
81, 2235
82, 2025
81, 1742
81, 2006
81, 2003
81, 1980
81, 1983
80, 1955
79, 1961
80, 1974
80, 1974
80, 1857
75, 1862
75, 1865
75, 1865
75, 1943
79, 1943
79, 1946
79, 1937
79, 1603
65, 1721
64, 1827
65, 1785
65, 1600
65, 1612
65, 1616
65, 1621
65, 1635
67, 1648
67, 1668
68, 1928
78, 2028
83, 1974
81, 1977
80, 1950
80, 1882
76, 1893
76, 1890
77, 1890
77, 1857
75, 1441
58, 1362
55, 1295
52, 1442
48, 1428
48, 1516
48, 1470
49, 1539
63, 1554
63, 1556
63, 1566
63, 1407
57, 1382
57, 1461
56, 1502
56, 1464
59, 1380
58, 1418
57, 1397
57, 1655
54, 1639
56, 1603
57, 1589
58, 1902
44, 1974
